country,continent,medals
Afghanistan,Asia,2
Algeria,Africa,17
Argentina,South America,77
Armenia,Asia,18
Australia,Oceania,562
Austria,Europe,326
Azerbaijan,Asia,49
Bahamas,North America,16
Bahrain,Asia,4
Barbados,North America,1
Belarus,Europe,103
Belgium,Europe,161
Bermuda,North America,2
Botswana,Africa,2
Brazil,South America,150
Bulgaria,Europe,230
Burkina Faso,Africa,1
Burundi,Africa,2
Cameroon,Africa,6
Canada,North America,525
Chile,South America,13
China,Asia,696
Colombia,South America,34
Costa Rica,North America,4
Croatia,Europe,52
Cuba,North America,241
Cyprus,Europe,1
Czech Republic,Europe,98
Denmark,Europe,206
Djibouti,Africa,1
Dominican Republic,North America,12
Ecuador,South America,5
Egypt,Africa,38
Eritrea,Africa,1
Estonia,Europe,43
Ethiopia,Africa,58
Fiji,Oceania,3
Finland,Europe,472
France,Europe,874
Gabon,Africa,1
Georgia,Asia,40
Germany,Europe,892
Ghana,Africa,5
Greece,Europe,121
Grenada,North America,3
Guatemala,North America,1
Guyana,South America,1
Haiti,North America,2
Hong Kong,Asia,9
Hungary,Europe,518
Iceland,Europe,4
India,Asia,35
Indonesia,Asia,37
Iran,Asia,76
Iraq,Asia,1
Ireland,Europe,35
Israel,Asia,13
Italy,Europe,742
Ivory Coast,Africa,4
Jamaica,North America,87
Japan,Asia,555
Jordan,Asia,3
Kazakhstan,Asia,80
Kenya,Africa,113
Kuwait,Asia,3
Kyrgyzstan,Asia,7
Latvia,Europe,30
Lebanon,Asia,4
Liechtenstein,Europe,10
Lithuania,Europe,26
Luxembourg,Europe,4
Malaysia,Asia,13
Mauritius,Africa,1
Mexico,North America,73
Moldova,Europe,6
Mongolia,Asia,30
Montenegro,Europe,1
Morocco,Africa,24
Mozambique,Africa,2
Namibia,Africa,5
Netherlands,Europe,451
New Zealand,Oceania,140
Niger,Africa,2
Nigeria,Africa,27
North Korea,Asia,56
North Macedonia,Europe,2
Norway,Europe,528
Pakistan,Asia,10
Panama,North America,3
Paraguay,South America,1
Peru,South America,4
Philippines,Asia,14
Poland,Europe,320
Portugal,Europe,28
Puerto Rico,North America,10
Qatar,Asia,8
Romania,Europe,309
Russia,Europe,547
Samoa,Oceania,1
San Marino,Europe,3
Saudi Arabia,Asia,4
Senegal,Africa,1
Serbia,Europe,24
Singapore,Asia,5
Slovakia,Europe,40
Slovenia,Europe,45
South Africa,Africa,89
South Korea,Asia,357
Spain,Europe,171
Sri Lanka,Asia,2
Sudan,Africa,1
Suriname,South America,2
Sweden,Europe,661
Switzerland,Europe,358
Syria,Asia,4
Tajikistan,Asia,4
Tanzania,Africa,2
Thailand,Asia,35
Togo,Africa,1
Tonga,Oceania,1
Trinidad and Tobago,North America,19
Tunisia,Africa,15
Turkey,Asia,104
Turkmenistan,Asia,1
Uganda,Africa,11
Ukraine,Europe,147
United Arab Emirates,Asia,2
United Kingdom,Europe,948
United States,North America,2980
Uruguay,South America,10
Uzbekistan,Asia,37
Venezuela,South America,19
Vietnam,Asia,5
Zambia,Africa,2
Zimbabwe,Africa,8
