name,gold,silver,copper,medals
Afghanistan,1180,959,841,2
Algeria,473,376,355,17
Argentina,323,329,354,77
Armenia,262,291,327,18
Australia,,,,562
Austria,,,,326
Azerbaijan,,,,49
Bahamas,,,,16
Bahrain,1,1,1,4
Barbados,,,,1
Belarus,,,,103
Belgium,,,,161
Bermuda,,,,2
Botswana,,,,2
Brazil,,,,150
Bulgaria,,,,230
Burkina Faso,,,,1
Burundi,,,,2
Cameroon,,,,6
Canada,,,,525
Chile,,,,13
China,,,,696
Colombia,,,,34
Costa Rica,,,,4
Croatia,,,,52
Cuba,,,,241
Cyprus,,,,1
Czech Republic,,,,98
Denmark,,,,206
Djibouti,,,,1
Dominican Republic,,,,12
Ecuador,,,,5
Egypt,,,,38
Eritrea,,,,1
Estonia,,,,43
Ethiopia,,,,58
Fiji,,,,3
Finland,,,,472
France,,,,874
Gabon,,,,1
Georgia,,,,40
Germany,,,,892
Ghana,,,,5
Greece,,,,121
Grenada,,,,3
Guatemala,,,,1
Guyana,,,,1
Haiti,,,,2
Hong Kong,,,,9
Hungary,,,,518
Iceland,,,,4
India,,,,35
Indonesia,,,,37
Iran,,,,76
Iraq,,,,1
Ireland,,,,35
Israel,,,,13
Italy,,,,742
Ivory Coast,,,,4
Jamaica,,,,87
Japan,,,,555
Jordan,,,,3
Kazakhstan,,,,80
Kenya,,,,113
Kuwait,,,,3
Kyrgyzstan,,,,7
Latvia,,,,30
Lebanon,,,,4
Liechtenstein,,,,10
Lithuania,,,,26
Luxembourg,,,,4
Malaysia,,,,13
Mauritius,,,,1
Mexico,,,,73
Moldova,,,,6
Mongolia,,,,30
Montenegro,,,,1
Morocco,,,,24
Mozambique,,,,2
Namibia,,,,5
Netherlands,,,,451
New Zealand,,,,140
Niger,,,,2
Nigeria,,,,27
North Korea,,,,56
North Macedonia,,,,2
Norway,,,,528
Pakistan,,,,10
Panama,,,,3
Paraguay,,,,1
Peru,,,,4
Philippines,,,,14
Poland,,,,320
Portugal,,,,28
Puerto Rico,,,,10
Qatar,,,,8
Romania,,,,309
Russia,,,,547
Samoa,,,,1
San Marino,,,,3
Saudi Arabia,,,,4
Senegal,,,,1
Serbia,,,,24
Singapore,,,,5
Slovakia,,,,40
Slovenia,,,,45
South Africa,,,,89
South Korea,,,,357
Spain,,,,171
Sri Lanka,,,,2
Sudan,,,,1
Suriname,,,,2
Sweden,,,,661
Switzerland,,,,358
Syria,,,,4
Tajikistan,,,,4
Tanzania,,,,2
Thailand,,,,35
Togo,,,,1
Tonga,,,,1
Trinidad and Tobago,,,,19
Tunisia,,,,15
Turkey,,,,104
Turkmenistan,,,,1
Uganda,,,,11
Ukraine,,,,147
United Arab Emirates,,,,2
United Kingdom,,,,948
United States,,,,2980
Uruguay,,,,10
Uzbekistan,,,,37
Venezuela,,,,19
Vietnam,,,,5
Zambia,,,,2
Zimbabwe,,,,8
